
Table of Contents
=================

File Name                  Class      Layout    Document Label
-------------------------------------------------------------------------------------
content/45d1431715ae0.nwd  NOVEL      DOCUMENT  SVN: Paprika Nicolas
content/857ed0089d5bd.nwd  NOVEL      DOCUMENT  Flashback: Prologue
content/a7b093e9e0e86.nwd  NOVEL      DOCUMENT  Chapter 1: Genesis
content/646c719114941.nwd  NOVEL      DOCUMENT  Scene 1.1: Rotting In Bed
content/4c86bd90659d6.nwd  NOVEL      DOCUMENT  Texting Finished
content/71e4e2ee80ea6.nwd  NOVEL      DOCUMENT  Texting Gerald
content/353d0635bed6f.nwd  NOVEL      DOCUMENT  Texting Nathan
content/fec575231fe57.nwd  NOVEL      DOCUMENT  Texting "Chef"
content/828e389a65027.nwd  NOVEL      DOCUMENT  Mom Calls
content/d97c1374a04b2.nwd  NOVEL      DOCUMENT  Scene 1.2: Bull Barges In
content/31e6cd7813279.nwd  NOVEL      DOCUMENT  Flashback: Gerald Helps Nicolas Study
content/3541a04417329.nwd  NOVEL      DOCUMENT  Scene 1.3: Street
content/bfef7bacd5832.nwd  NOVEL      DOCUMENT  Chapter 2: More
content/1265a10f3a967.nwd  NOVEL      DOCUMENT  Scene 2.1
content/1adcef5ee8029.nwd  NOVEL      DOCUMENT  Chapter ? 1
content/78968411bd433.nwd  NOVEL      DOCUMENT  Scene ?.?: Gay Club
content/e238474f538cd.nwd  PLOT       NOTE      Overview: Paprika - Nicolas
content/c5f24836015be.nwd  PLOT       NOTE      Plot Overview
content/8c90babd70097.nwd  PLOT       NOTE      Chapter 1 notes
content/b66b417a56929.nwd  PLOT       NOTE      Chapter 2 notes
content/9e9def1ff86e0.nwd  PLOT       NOTE      Chapter ? notes
content/35dff61da356e.nwd  CHARACTER  NOTE      Nicolas
content/3996ebfde413b.nwd  CHARACTER  NOTE      Gerald
content/bc695effca52f.nwd  CHARACTER  NOTE      Mom 1 Linda
content/51df087ebe4cc.nwd  CHARACTER  NOTE      Mom 2 Yasmine
content/614330ced7de3.nwd  CHARACTER  NOTE      Nathan
content/380ae815efe5f.nwd  CHARACTER  NOTE      Anthony
content/7f7570e23de55.nwd  WORLD      NOTE      Nicolas’s Apartment
content/7dab0fb7edb3b.nwd  WORLD      NOTE      Nicolas's Street
content/7c03bd32ac64d.nwd  WORLD      NOTE      Gay Bar Club
content/1d1a7f1928341.nwd  WORLD      NOTE      Red Light District
content/9c52b0c0f390f.nwd  WORLD      NOTE      Nathan's Shop
content/3afecf532f1bd.nwd  TIMELINE   NOTE      Year: 2026
content/44e18c098ed79.nwd  TEMPLATE   NOTE      Character
content/d3d80228ff61b.nwd  TRASH      NOTE      New Note
content/99a32eff33f00.nwd  TRASH      DOCUMENT  New Chapter
content/80376a16a1cbb.nwd  TRASH      DOCUMENT  Prologue
